Samplenumber,Setname,Sampletype,Replicate,Species,Standard Length,Body Mass,Ad-Clipped,Site,Latitude,Longitude,Tow/Load,Collection Date,Samplewt,Calcbasis,Lipidiatro Sale Format,Lipidiatro Tg Format,Lipidiatro Ffa Format,Lipidiatro Chol Format,Lipidiatro Pl Format,Cb103 Recovery Format,Hcb Conc Format,Ahch Conc Format,Bhch Conc Format,Lindane Conc Format,Achlor Conc Format,Cnona Conc Format,Bchlor Conc Format,Hept Conc Format,Hpe Conc Format,Nona3 Conc Format,Oxychlor Conc Format,Tnona Conc Format,Aldrin Conc Format,Diel Conc Format,Mirex Conc Format,Eslf1 Conc Format,Cb17 Conc Format,Cb18 Conc Format,Cb28 Conc Format,Cb31 Conc Format,Cb33 Conc Format,Cb44 Conc Format,Cb49 Conc Format,Cb52 Conc Format,Cb66 Conc Format,Cb70 Conc Format,Cb74 Conc Format,Cb82 Conc Format,Cb87 Conc Format,Cb95 Conc Format,Cb99 Conc Format,Cb101 Conc Format,Cb105 Conc Format,Cb110 Conc Format,Cb118 Conc Format,Cb128 Conc Format,Cb138 Conc Format,Cb149 Conc Format,Cb151 Conc Format,Cb153 Conc Format,Cb156 Conc Format,Cb158 Conc Format,Cb170 Conc Format,Cb171 Conc Format,Cb177 Conc Format,Cb180 Conc Format,Cb183 Conc Format,Cb187 Conc Format,Cb191 Conc Format,Cb194 Conc Format,Cb195 Conc Format,Cb199 Conc Format,Cb205 Conc Format,Cb206 Conc Format,Cb208 Conc Format,Cb209 Conc Format,Opddd Conc Format,Opdde Conc Format,Opddt Conc Format,Ppddd Conc Format,Ppdde Conc Format,Ppddt Conc Format,Sum Chlds Conc Format,Sum Ddts Conc Format,Sum Hchs Conc Format,Sum40cbs Conc Format,Bde28 Conc Format,Bde47 Conc Format,Bde49 Conc Format,Bde66 Conc Format,Bde85 Conc Format,Bde99 Conc Format,Bde100 Conc Format,Br5de04 Conc Format,Br5de05 Conc Format,Bde153 Conc Format,Bde154 Conc Format,Br6de01 Conc Format,Bde155 Conc Format,Bde183 Conc Format,Br7de01 Conc Format,Sumbde Conc Format,Samplenote,Record Number,Accessed Date,Source Url,Preferred Citation
112-1349,PS1956,Method Blank,,,,,,,,,,,2.0178,wet,0,0,0,0,0,106.494843816968,< 0.17,< 0.18,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.042,< 0.17,< 0.17,< 0.13,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.042,< 0.17,< 0.085,< 0.17,< 0.17,0.052,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.25,< 0.042,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.13,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< LOQ,< LOQ,< LOQ,0.052,< 0.41,< 0.41,< 0.41,< 0.41,< 0.41,< 0.41,< 0.41,< 0.41,< 0.41,< 0.40,< 0.41,< 0.41,< 0.41,< 0.41,< 0.41,< LOQ,,Row 79 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1352,PS1957,Tissue - whole body,,Pacific herring,107,14.4,,Protection Island,48.1278714,-122.9262842,Load 40 #1,2005-07-20 00:00:00,2.041,wet,0,74.3012227451039,9.20224841490234,1.20920653288193,15.2873223071117,-9999,0.83,0.81,0.68,< 0.13,0.3,< 0.13,< 0.13,< 1.2,< 0.13,< 0.13,< 0.13,0.27,< 0.13,0.54,< 0.13,< 0.13,0.041,< 0.13,0.21,0.2,< 0.13,0.17,0.15,0.34,0.16,0.23,< 0.13,0.039,0.15,0.39,0.3,0.51,0.19,0.45,0.41,< 0.13,0.86,0.44,< 0.13,1,< 0.033,< 0.13,< 0.13,< 0.13,< 0.13,0.19,< 0.13,0.21,< 0.13,< 0.13,< 0.13,< 0.099,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,0.47,2.7,0.15,0.57,3.3,1.5,6.7,< 0.30,1.4,< 0.30,< 0.30,< 0.30,0.61,0.34,< 0.30,< 0.30,< 0.29,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,2.3,,Row 80 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1353,PS1957,Tissue - whole body,,Pacific herring,118,21.2,,Protection Island,48.1278714,-122.9262842,Load 40 #2,2005-07-20 00:00:00,2.008,wet,0,69.8501575532143,18.1370796969938,1.09292151098976,10.9198412388021,-9999,0.68,0.71,0.64,< 0.14,0.3,< 0.14,< 0.14,< 1.3,< 0.14,< 0.14,< 0.14,0.28,< 0.14,0.51,< 0.14,< 0.14,0.043,< 0.14,0.22,0.19,< 0.14,0.17,0.15,0.32,< 0.14,0.19,< 0.14,0.038,0.15,0.37,0.28,0.52,0.17,0.42,0.39,< 0.14,0.79,0.41,< 0.14,0.94,< 0.035,< 0.14,< 0.14,< 0.14,< 0.14,0.18,< 0.14,0.19,< 0.14,< 0.14,< 0.14,< 0.10,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,0.5,2.5,0.19,0.57,3.2,1.4,6.2,< 0.31,1.6,0.39,< 0.31,< 0.31,0.63,0.39,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.32,< 0.32,3,,Row 81 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1354,PS1957,Tissue - whole body,,Pacific herring,130,25.1,,Tatoosh Island,48.3931168,-124.7380236,Load 10 #1,2005-06-25 00:00:00,2.016,wet,0,63.3029028564167,13.6315007468073,4.19985225266289,18.865744144113,-9999,0.64,0.52,0.72,0.25,0.25,< 0.14,< 0.14,< 1.3,< 0.14,< 0.14,< 0.14,0.26,< 0.14,0.47,< 0.14,< 0.14,0.059,< 0.14,0.16,0.16,< 0.14,< 0.14,< 0.14,0.22,< 0.14,0.16,< 0.14,< 0.035,< 0.14,0.28,0.16,0.31,0.11,0.3,0.27,< 0.14,0.49,0.29,< 0.14,0.57,< 0.035,< 0.14,< 0.14,< 0.14,< 0.14,0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.10,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,0.51,2.4,0.75,0.51,3.6,1.5,3.7,< 0.31,0.5,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.32,< 0.32,< 0.32,< 0.32,< 0.32,0.5,,Row 82 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1355,PS1957,Tissue - whole body,,Pacific herring,130,24.2,,Tatoosh Island,48.3931168,-124.7380236,Load 14 #1,2005-06-25 00:00:00,2.029,wet,0,61.1194813894922,14.8786714964853,3.26206168893461,20.7397854250878,-9999,0.55,0.44,0.43,< 0.15,0.23,< 0.16,< 0.16,< 1.4,< 0.15,< 0.15,< 0.15,0.25,< 0.15,0.35,< 0.15,< 0.15,< 0.038,< 0.15,0.16,0.14,< 0.15,< 0.15,< 0.15,0.24,< 0.15,0.16,< 0.15,< 0.038,< 0.15,0.27,0.19,0.35,0.11,0.28,0.27,< 0.15,0.48,0.28,< 0.15,0.57,< 0.039,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.12,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,0.46,2.8,< 0.15,0.47,3.3,0.88,3.5,< 0.35,0.66,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.34,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,0.66,,Row 83 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1356,PS1957,Tissue - whole body,,Pacific herring,130,21.8,,Tatoosh Island,48.3931168,-124.7380236,Load 31 #1,2005-07-15 00:00:00,2.004,wet,0,52.0679825349175,31.1104902444546,5.41214686352751,11.4093803571002,-9999,0.48,0.19,0.19,0.18,0.22,< 0.17,< 0.17,< 1.5,< 0.16,< 0.16,< 0.16,0.24,< 0.16,< 0.16,< 0.16,< 0.16,0.048,< 0.16,0.23,0.2,< 0.16,< 0.16,< 0.16,0.22,< 0.16,< 0.16,< 0.16,< 0.041,< 0.16,0.26,0.18,0.33,0.13,0.32,0.31,< 0.17,0.56,0.32,< 0.17,0.64,< 0.041,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.17,< 0.12,< 0.16,< 0.17,< 0.16,< 0.16,< 0.16,< 0.16,0.16,0.54,3.4,< 0.16,0.46,4.1,0.56,3.7,< 0.37,0.41,< 0.37,< 0.37,< 0.37,< 0.37,< 0.37,< 0.37,< 0.37,< 0.37,< 0.37,< 0.37,< 0.37,< 0.37,< 0.37,0.41,,Row 84 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1357,PS1957,Tissue - whole body,,Pacific herring,134,27.2,,Tatoosh Island,48.3931168,-124.7380236,Load 54 #1,2005-08-09 00:00:00,1.999,wet,0,45.3019628427827,31.3493297458961,7.71536995141267,15.6333374599084,-9999,0.31,< 0.19,< 0.18,< 0.18,0.2,< 0.18,< 0.18,< 1.7,< 0.18,< 0.18,0.19,0.28,< 0.18,< 0.18,< 0.18,< 0.18,< 0.045,< 0.18,< 0.18,0.15,< 0.18,< 0.18,< 0.18,0.28,< 0.18,0.18,< 0.18,< 0.045,< 0.18,0.38,0.34,0.53,0.18,0.45,0.45,< 0.18,0.88,0.48,< 0.18,1.1,< 0.045,< 0.18,< 0.18,< 0.18,< 0.18,0.21,< 0.18,0.22,< 0.18,< 0.18,< 0.18,< 0.13,< 0.18,< 0.18,< 0.18,< 0.18,< 0.18,< 0.18,< 0.18,0.39,2.4,< 0.18,0.67,2.8,< LOQ,5.9,< 0.40,2.2,0.75,< 0.40,< 0.40,0.61,0.5,< 0.40,< 0.40,< 0.40,< 0.41,< 0.41,< 0.41,< 0.41,< 0.41,4.1,,Row 85 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1358,PS1957,Tissue - whole body,,Rockfish sp.,64,4.1,,Destruction Island,47.6745219,-124.4854773,Load 1 #1,2005-07-07 00:00:00,2.046,wet,0,49.5040594333693,24.6467934739649,5.7976251026044,20.0515219900612,-9999,0.28,0.21,0.27,< 0.15,< 0.15,< 0.16,< 0.16,< 1.4,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.16,< 0.15,< 0.039,< 0.16,< 0.16,< 0.12,< 0.15,< 0.16,< 0.15,< 0.15,< 0.15,< 0.15,< 0.16,< 0.039,< 0.16,0.11,< 0.15,< 0.16,0.058,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.23,< 0.039,< 0.15,< 0.15,< 0.16,< 0.16,< 0.16,< 0.15,< 0.15,< 0.16,< 0.16,< 0.16,< 0.12,< 0.16,< 0.16,< 0.16,< 0.16,< 0.15,< 0.15,< 0.15,0.18,0.46,< 0.15,< LOQ,0.64,0.48,0.17,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< LOQ,,Row 86 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1359,PS1957,Tissue - whole body,,Rockfish sp.,68,4.1,,Destruction Island,47.6745219,-124.4854773,Load 13 #5,2005-07-07 00:00:00,2.034,wet,0,39.2422200156176,14.1203968368318,4.33732807693006,42.3000550706204,-9999,0.57,0.47,0.51,< 0.15,0.15,< 0.15,< 0.15,< 1.4,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.037,< 0.15,< 0.15,0.11,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.037,< 0.15,0.14,< 0.15,< 0.15,0.05,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.22,< 0.037,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.11,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,0.2,0.72,< 0.15,0.15,0.92,0.98,0.3,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.34,< 0.34,< LOQ,,Row 87 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1360,PS1957,Tissue - whole body,,Rockfish sp.,66,4.4,,Destruction Island,47.6745219,-124.4854773,Load 18 #1,2004-07-07 00:00:00,2.026,wet,0,56.3227746596011,15.8771800345075,4.16026061773114,23.6397846881601,-9999,0.36,0.41,0.42,< 0.15,< 0.15,< 0.16,< 0.16,< 1.4,< 0.15,< 0.16,< 0.15,< 0.16,< 0.16,< 0.15,< 0.16,< 0.16,0.04,< 0.16,< 0.16,< 0.12,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.039,< 0.16,0.12,< 0.16,< 0.16,0.054,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.23,< 0.039,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.12,< 0.16,< 0.16,< 0.16,< 0.16,< 0.15,< 0.15,< 0.15,< 0.16,0.45,< 0.15,< LOQ,0.45,0.84,0.21,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.36,< 0.36,< LOQ,,Row 88 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1361,PS1957,Tissue - whole body,,Rockfish sp.,68,5.2,,Destruction Island,47.6745219,-124.4854773,Load 18 #8,2004-07-07 00:00:00,2.03,wet,0,60.6897308199602,16.6816752905934,4.81819207659419,17.8104018128521,-9999,0.37,0.49,0.4,< 0.16,< 0.16,< 0.16,< 0.16,< 1.5,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.040,< 0.16,< 0.16,< 0.12,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.040,< 0.16,0.11,< 0.16,< 0.16,0.052,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.24,< 0.041,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.12,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,0.33,< 0.16,< LOQ,0.33,0.89,0.17,< 0.36,< 0.36,< 0.36,< 0.36,< 0.36,< 0.36,< 0.36,< 0.36,< 0.36,< 0.36,< 0.37,< 0.37,< 0.37,< 0.37,< 0.37,< LOQ,,Row 89 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1362,PS1957,Tissue - whole body,,Rockfish sp.,67,4.3,,Tatoosh Island,48.3931168,-124.7380236,Load 6 #1,2004-07-13 00:00:00,2.033,wet,0,55.4752140603519,20.0672374956095,6.56273460000563,17.8948138440329,-9999,0.39,0.45,0.34,< 0.15,< 0.15,< 0.15,< 0.16,< 1.4,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.038,< 0.15,< 0.15,< 0.11,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.038,< 0.15,0.12,< 0.15,< 0.15,0.058,< 0.15,< 0.15,< 0.15,0.18,< 0.15,< 0.15,< 0.23,< 0.038,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.11,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,0.4,< 0.15,< LOQ,0.4,0.79,0.35,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.35,< 0.35,< LOQ,,Row 90 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1363,PS1957,Tissue - whole body,,Rockfish sp.,69,4.4,,Tatoosh Island,48.3931168,-124.7380236,Load 6 #2,2004-07-13 00:00:00,2.015,wet,0,58.15446225951,22.4284089944189,6.16106187224115,13.2560668738298,-9999,0.46,0.46,0.32,< 0.16,0.18,< 0.16,< 0.16,< 1.5,< 0.16,< 0.16,< 0.16,0.16,< 0.16,< 0.16,< 0.16,< 0.16,0.04,< 0.16,< 0.16,0.12,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.039,< 0.16,0.14,< 0.16,< 0.16,0.064,< 0.16,< 0.16,< 0.16,0.21,< 0.16,< 0.16,< 0.23,< 0.040,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.12,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.15,0.19,0.7,< 0.15,0.33,0.89,0.79,0.58,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.36,< 0.36,< 0.36,< 0.36,< 0.36,< LOQ,,Row 91 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1364,PS1957,Tissue - whole body,,Rockfish sp.,69,5.1,,Tatoosh Island,48.3931168,-124.7380236,Load 7 #1,2004-07-13 00:00:00,2.032,wet,0,63.9057433335807,16.273103090873,4.99512109423993,14.8260324813063,-9999,0.33,0.64,0.43,< 0.15,< 0.15,< 0.16,< 0.16,< 1.4,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,0.17,< 0.15,< 0.15,< 0.038,< 0.15,< 0.15,< 0.12,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.038,< 0.15,0.12,< 0.15,< 0.15,0.041,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.23,< 0.038,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.12,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,0.28,< 0.15,< LOQ,0.28,1.1,0.16,< 0.35,< 0.35,< 0.35,< 0.35,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< LOQ,,Row 92 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1365,PS1957,Tissue - whole body,,Rockfish sp.,67,4.9,,Tatoosh Island,48.3931168,-124.7380236,Load 39 #3,2004-07-14 00:00:00,2.029,wet,0,61.0922937560468,16.3459837619905,4.91027904445491,17.6514434375076,-9999,0.37,0.52,0.37,< 0.15,< 0.15,< 0.15,< 0.16,< 1.4,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.038,< 0.15,< 0.15,< 0.11,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.038,< 0.15,0.11,< 0.15,< 0.15,0.045,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.23,< 0.038,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.11,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,0.29,< 0.15,< LOQ,0.29,0.89,0.16,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.35,< 0.35,< LOQ,,Row 93 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1366,PS1957,SRM 1947,,,,,,,,,,,1.171,wet,0,94.461932958667,0,0,5.53806704133292,-9999,5.9,1.1,< 0.28,0.36,50,65,14,< 2.5,11,9.8,22,130,< 0.27,78,4.9,< 0.27,0.54,2.2,16,9.2,0.54,19,25,37,65,55,30,3.2,30,33,69,87,55,86,110,36,210,71,19,230,15,13,33,9.2,23,83,23,62,1.2,15,4.8,21,0.9,7.7,3.5,2.4,4.1,3.6,18,58,840,71,300,1000,1.5,1600,2.9,78,6.8,2.4,< 0.61,29,24,< 0.61,< 0.61,5.6,9.3,< 0.61,0.86,< 0.62,< 0.62,160,,Row 94 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
